title,slug,category_id,collection_ids,short_description,long_description,country_code,selling_price,mrp,cost,average_rating,review_count,sku,barcode,has_variations,stock_quantity,track_quantity,allow_backorders,sold_count,in_cart_count,weight,height,width,length,weight_unit,dimension_unit,search_tags,meta_title,meta_desc,type,status
Mechanical Keyboard,mec-keyboard-rgb,1,[1],RGB mechanical keyboard,Compact 87-key mechanical keyboard with hot-swappable switches and RGB lighting.,IN,5999,7499,3000,4.5,510,KB-RGB-87,8901234500067,1,250,1,0,420,60,0.9,36,13,4,kg,cm,"keyboard,mechanical,gaming",Mechanical Keyboard RGB,Fast mechanical keyboard with custom lighting.,physical-product,4
USB-C 100W Charger,usb-c-100w-charger,1,[1],GaN fast charger 100W,Compact GaN charger for laptops and phones with 100W PD output.,IN,2999,3499,1800,4.4,190,UC-100W,8901234500074,0,420,1,0,600,90,0.12,6,6,4,kg,cm,"charger,usb-c,gan,power",USB-C 100W Charger,Fast and compact GaN charger.,physical-product,4
Power Bank 20000,powerbank-20000,1,"[1,3]","High-capacity power bank 20,000mAh","Supports dual output, PD fast charging and pass-through charging.",IN,2499,2999,1400,4.3,330,PB-20000,8901234500081,0,600,1,0,1250,60,0.4,16,7.5,2.2,kg,cm,"powerbank,portable,charger",Power Bank 20000mAh,High capacity power bank for travel.,physical-product,4
Wireless Router AC1200,wireless-router-ac1200,1,[1],Dual-band wireless router,AC1200 router with parental controls and guest network support.,IN,3499,4499,2200,4.1,105,WR-AC1200,8901234500098,0,180,1,0,320,8,0.25,20,14,4,kg,cm,"network,router,wifi",Wireless Router AC1200,Stable home Wi-Fi with parental controls.,physical-product,4
SSD 1TB NVMe,ssd-1tb-nvme,1,[1],High-speed NVMe SSD 1TB,"PCIe 3.0 NVMe SSD for faster boot and load times, 1TB capacity.",IN,7999,9999,5000,4.6,840,SSD-NV1TB,8901234500104,0,210,1,0,730,175,0.05,8,2.3,1,kg,cm,"storage,ssd,nvme,1tb",SSD 1TB NVMe,Fast NVMe SSD for laptops and PCs.,physical-product,4
External HDD 2TB,external-hdd-2tb,1,[1],Portable 2TB external hard drive,USB 3.0 portable hard drive for backups and extra storage.,IN,4499,5499,2800,4.2,320,EXH-2TB,8901234500111,0,140,1,0,400,40,0.22,11.5,8,2.1,kg,cm,"storage,hdd,external,backup",External HDD 2TB,Affordable portable storage solution.,physical-product,4
DSLR Camera 250D,dslr-250d,5,[5],Entry-level DSLR,"DSLR with 24MP sensor, 18-55mm kit lens and full manual controls.",IN,39999,45999,28000,4.4,215,DSLR-250D,8901234500128,1,45,1,0,85,12,0.65,13,10,7,kg,cm,"camera,dslr,photography",DSLR Camera 250D,Perfect DSLR to start photography.,physical-product,4
Mirrorless Z6,mirrorless-z6,5,[5],Full-frame mirrorless camera,Mirrorless camera with 24MP full-frame sensor and 4K video.,IN,84999,89999,62000,4.7,410,ML-Z6,8901234500135,0,25,1,0,60,8,0.78,13.4,9.8,6.5,kg,cm,"camera,mirrorless,full-frame",Mirrorless Z6 - 24MP,High-quality mirrorless for enthusiasts.,physical-product,4
Camera Lens 50mm,camera-lens-50mm,5,[5],Prime 50mm f/1.8 lens,Compact prime lens with wide aperture for portrait shots.,IN,7999,8999,4500,4.5,320,LN-50MM,8901234500142,0,130,1,0,420,55,0.27,6.5,6.5,4.4,kg,cm,"camera,lens,prime,50mm",50mm Prime Lens,Sharp portrait lens with wide aperture.,physical-product,4
Tripod Carbon,tripod-carbon,5,[5],Lightweight carbon fiber tripod,Stable tripod with adjustable height and quick-release plate.,IN,6999,8999,4200,4.3,95,TP-CARB-01,8901234500159,0,75,1,0,210,14,1.1,60,12,12,kg,cm,"tripod,photography,accessory",Carbon Fiber Tripod,Portable tripod for photographers.,physical-product,4
Gaming Monitor 27,gaming-monitor-27,1,[1],"27\ 144Hz gaming monitor""",27-inch 144Hz IPS monitor with 1ms response and adaptive sync.,IN,25999,29999,17000,4.6,760,GM-27-144,8901234500166,0,95,1,0,320,30,4.2,61,24,5,kg,cm,"monitor,gaming,27inch","Gaming Monitor 27\"" 144Hz",High refresh monitor for gaming.,physical-product,4
Office Desk Lamp,office-desk-lamp,3,[3],Adjustable LED desk lamp,Dimmable LED lamp with warm and cool light modes and USB charging port.,IN,1499,1999,700,4,180,DL-USB-01,8901234500173,0,500,1,0,900,140,0.9,40,10,8,kg,cm,"lighting,desk,lamp,led",Office Desk Lamp,Dimmable desk lamp with USB charging.,physical-product,4
HDMI 2.1 Cable 2m,hdmi-2-1-cable-2m,1,[1],High-speed HDMI 2.1 cable 2m,Supports 4K@120Hz and 8K@60Hz with premium shielding.,IN,899,1199,300,4.2,60,HDMI-2M-21,8901234500180,0,1200,1,0,320,40,0.05,200,1,1,kg,cm,"cable,hdmi,video",HDMI 2.1 Cable 2m,Premium HDMI 2.1 cable for high refresh displays.,physical-product,4
Wireless Gaming Mouse Pro,wireless-gaming-mouse-pro,1,[1],High-precision wireless gaming mouse,Lightweight mouse with adjustable DPI and RGB lighting.,IN,5499,6999,3000,4.5,980,GM-WL-01,8901234500197,1,360,1,0,1500,320,0.095,12.5,6.8,4,kg,cm,"gaming,mouse,wireless",Wireless Gaming Mouse Pro,Pro-grade wireless mouse for gamers.,physical-product,4
Mouse Pad XL,mouse-pad-xl,1,[1],Extra-large mouse pad,Smooth fabric surface and anti-slip rubber base for wide movement.,IN,799,999,200,4.1,90,MP-XL-01,8901234500203,0,600,1,0,410,60,0.35,90,40,0.3,kg,cm,"mousepad,gaming,accessory",Mouse Pad XL,Large surface for comfortable gaming.,physical-product,4
Coffee Grinder Automatic,coffee-grinder-auto,3,[3],Electric coffee grinder for home,Stainless steel burr grinder with multiple grind settings.,IN,3499,4499,2200,4,170,CG-AUTO-01,8901234500210,0,140,1,0,340,20,1.2,18,12,12,kg,cm,"kitchen,coffee,grinder",Automatic Coffee Grinder,Consistent grind for fresh coffee.,physical-product,4
Air Fryer 5L,air-fryer-5l,3,[3],5L digital air fryer,Oil-free cooking with preset menu and easy-clean basket.,IN,7999,9999,4800,4.2,410,AF-5L-01,8901234500227,0,110,1,0,860,120,3.8,28,28,31,kg,cm,"kitchen,airfryer,appliances",Air Fryer 5L,Healthy cooking with digital presets.,physical-product,4
Blender 1.5L,blender-1-5l,3,[3],High-power blender with jar,1.5L blender for smoothies and purees with pulse function.,IN,2999,3499,1600,4.1,230,BL-1500,8901234500234,0,220,1,0,420,65,2.1,20,18,18,kg,cm,"kitchen,blender,appliance",Blender 1.5L,Powerful blender for daily use.,physical-product,4
Refrigerator 260L,refrigerator-260l,3,[3],Double-door refrigerator 260L,Energy efficient refrigerator with vegetable crisper and freezer.,IN,28999,32999,21000,4,95,RF-260,8901234500241,0,35,1,0,40,5,55,175,59,68,kg,cm,"appliances,refrigerator,kitchen",Refrigerator 260L,Spacious and energy efficient fridge.,physical-product,4
Microwave 20L,microwave-20l,3,[3],20L solo microwave oven,Compact microwave for reheating and simple cooking tasks.,IN,6999,7999,4000,4.1,140,MW-20L,8901234500258,0,95,1,0,210,20,14,48,34,29,kg,cm,"microwave,kitchen,appliance",Microwave 20L,Compact microwave for daily use.,physical-product,4
Washing Machine 7kg,washing-machine-7kg,3,[3],Top-load washing machine 7kg,Efficient wash programs and quick-wash option for small families.,IN,13999,15999,9500,4,135,WM-7KG,8901234500265,0,40,1,0,180,20,35,95,55,60,kg,cm,"washing,washingmachine,appliance",Washing Machine 7kg,Top-load washer for small homes.,physical-product,4
Vacuum Cleaner 1600W,vacuum-cleaner-1600w,3,[3],Powerful bagless vacuum cleaner,Multi-surface cleaning with HEPA filtration and attachments.,IN,8999,10999,5200,4.3,210,VC-1600,8901234500272,0,75,1,0,410,34,4.8,25,28,45,kg,cm,"cleaning,vacuum,home",Vacuum Cleaner 1600W,Efficient cleaning with HEPA filter.,physical-product,4
Hair Dryer Pro,hair-dryer-pro,3,[2],Professional hair dryer 2000W,Lightweight dryer with ionic technology and multiple heat settings.,IN,2499,3499,1200,4.2,260,HD-PRO-2000,8901234500289,0,260,1,0,720,95,0.48,22,9,8,kg,cm,"beauty,hair,hairdryer",Hair Dryer Pro,Fast drying with ionic tech.,physical-product,4
Electric Shaver 3-head,electric-shaver-3head,2,[2],3-head rotary electric shaver,Wet & dry shaver with long-lasting battery and travel lock.,IN,3999,4999,2200,4.1,190,ES-3H,8901234500296,0,320,1,0,840,120,0.18,14,6,6,kg,cm,"grooming,shaver,electric",Electric Shaver 3-head,Comfortable shave with 3 rotary heads.,physical-product,4
Men's Leather Wallet,mens-leather-wallet,2,[2],Genuine leather bifold wallet,Compact bifold wallet with multiple card slots and coin pocket.,IN,1299,1999,700,4,85,WL-LEA-01,8901234500302,0,420,1,0,150,40,0.12,11,9,1.5,kg,cm,"wallet,leather,accessory,men",Men's Leather Wallet,Premium leather bifold wallet.,physical-product,4
Backpack Urban,backpack-urban,2,[2],15L urban backpack,Water-resistant backpack with laptop sleeve and organizer pockets.,IN,2199,2999,1100,4.3,260,BP-URB-15,8901234500319,0,350,1,0,430,70,0.65,45,30,15,kg,cm,"backpack,travel,bag",Urban Backpack 15L,Stylish and practical everyday backpack.,physical-product,4
Sunglasses Polarized,sunglasses-polarized,2,[2],Polarized UV protection sunglasses,Lightweight frames with polarized lenses for UV400 protection.,IN,999,1499,300,4.2,165,SG-POL-01,8901234500326,0,520,1,0,1020,80,0.03,15,5,4,kg,cm,"sunglasses,accessory,uv",Polarized Sunglasses,Stylish sunglasses with polarized lenses.,physical-product,4
Analog Wristwatch,analog-wristwatch,2,[2],Classic analog wristwatch,Water-resistant watch with leather strap and minimalist dial.,IN,2499,3499,900,4.1,190,WT-ANLG-01,8901234500333,0,260,1,0,420,55,0.09,4,4,0.9,kg,cm,"watch,wristwatch,analog",Analog Wristwatch,Timeless classic wristwatch.,physical-product,4
Bluetooth Headset Pro,bluetooth-headset-pro,1,"[1,3]",On-ear Bluetooth headset,Comfortable on-ear headset with clear mic and 20hr battery.,IN,2499,3299,1400,4,140,BH-PRO-01,8901234500340,0,340,1,0,650,110,0.18,18,16,6,kg,cm,"audio,headset,bluetooth",Bluetooth Headset Pro,Comfortable headset for long calls.,physical-product,4
Photo Printer Mini,photo-printer-mini,1,[1],Compact photo printer,Portable photo printer with wireless printing and borderless prints.,IN,6999,7999,3800,4.2,95,PRT-MINI,8901234500357,0,80,1,0,95,10,1.6,20,10,6,kg,cm,"printer,photo,portable",Mini Photo Printer,Small printer for instant photos.,physical-product,4
Ink Cartridge Black,ink-cartridge-black,1,[1],Original black ink cartridge,High-yield ink cartridge for sharp black prints.,IN,799,999,200,4.1,60,INK-BK-01,8901234500364,0,1200,1,0,400,50,0.08,6,6,2,kg,cm,"printer,ink,cartridge",Black Ink Cartridge,High-yield black ink cartridge.,physical-product,4
WiFi Range Extender,wifi-range-extender,1,[1],Compact WiFi range extender,Boosts home WiFi coverage with easy setup and app control.,IN,2499,2999,1300,4,75,WR-EXT-01,8901234500371,0,180,1,0,360,40,0.18,11,8,3,kg,cm,"network,wifi,extender",WiFi Range Extender,Extend WiFi to hard-to-reach areas.,physical-product,4
Smart LED Bulb,smart-led-bulb,3,[3],Color changing smart bulb,Control color and brightness via app or voice assistants.,IN,799,999,250,4.2,210,SLB-01,8901234500388,0,900,1,0,1250,220,0.09,6,6,11,kg,cm,"smart,lighting,bulb",Smart LED Bulb,Smart bulb with color and scheduling.,physical-product,4
Portable Projector Mini,portable-projector-mini,1,[1],Pocket-sized mini projector,Compact projector for movies on the go with HDMI input.,IN,9999,12999,5200,4.1,65,PP-MINI-01,8901234500395,0,60,1,0,120,8,0.36,19,12,13,kg,cm,"projector,portable,media",Portable Projector Mini,Bring the cinema anywhere with this mini projector.,physical-product,4
Smart Door Lock,smart-door-lock,3,[3],Keyless smart door lock,"Fingerprint, PIN and app access with tamper alarm.",IN,7999,9999,4800,4,48,SDL-01,8901234500401,0,95,1,0,35,4,1.7,22,7,4,kg,cm,"security,smartlock,home",Smart Door Lock,Secure and convenient keyless entry.,physical-product,4
Electric Toothbrush,electric-toothbrush,3,[3],Rechargeable electric toothbrush,Multiple cleaning modes and long battery life.,IN,2499,3299,1100,4.3,230,ETB-01,8901234500418,0,420,1,0,850,190,0.12,25,2,3,kg,cm,"health,toothbrush,electric",Electric Toothbrush,Effective cleaning with multiple modes.,physical-product,4
Baby Stroller Lite,baby-stroller-lite,6,[6],Lightweight stroller for infants,Compact foldable stroller with adjustable recline and canopy.,IN,8999,10999,5200,4.2,72,BS-LITE-01,8901234500425,0,85,1,0,40,6,6.5,95,52,45,kg,cm,"baby,stroller,travel",Baby Stroller Lite,Easy-to-fold stroller for city use.,physical-product,4
Infant Car Seat,infant-car-seat,6,[6],Rear-facing infant car seat,Safety-rated car seat with adjustable harness and padding.,IN,6999,8999,4200,4.1,48,CS-INF-01,8901234500432,0,60,1,0,25,3,4.8,60,45,40,kg,cm,"baby,carseat,safety",Infant Car Seat,Safe and comfortable car seat for infants.,physical-product,4
Kids Educational Tablet,kids-edu-tablet,6,[6],Durable tablet for kids,Preloaded educational apps and parental controls for kids.,IN,4999,5999,2600,4,210,KET-7,8901234500449,0,220,1,0,410,35,0.48,24,16,2,kg,cm,"kids,tablet,education",Kids Educational Tablet,Fun and safe tablet for learning.,physical-product,4
Yoga Mat Pro,yoga-mat-pro,2,[2],Non-slip yoga mat,"Thick, cushioned yoga mat with anti-slip surface and carry strap.",IN,999,1299,200,4.3,190,YM-PRO-01,8901234500456,0,820,1,0,1200,260,1.5,183,61,0.6,kg,cm,"fitness,yoga,mat",Yoga Mat Pro,Comfortable non-slip mat for yoga.,physical-product,4
Resistance Bands Set,resistance-bands-set,2,[2],Set of 5 resistance bands,Multiple resistance levels for full-body workouts and portability.,IN,699,899,120,4.2,150,RB-SET-5,8901234500463,0,920,1,0,980,180,0.25,15,10,3,kg,cm,"fitness,bands,exercise",Resistance Bands Set,Portable resistance bands for workouts.,physical-product,4
Protein Powder 1kg,protein-powder-1kg,2,[2],Whey protein 1kg,High-quality whey protein for post-workout recovery.,IN,2499,2999,900,4.4,320,PP-1KG,8901234500470,0,380,1,0,610,140,1,20,15,15,kg,cm,"nutrition,protein,fitness",Protein Powder 1kg,Whey protein for muscle recovery.,physical-product,4
Smart Scale Body,smart-scale-body,2,[2],Bluetooth body composition scale,"Measures weight, body fat, BMI and syncs to app.",IN,1999,2499,900,4.1,210,SS-BODY-01,8901234500487,0,470,1,0,720,140,2.8,30,30,4,kg,cm,"health,scale,smart",Smart Body Scale,Track body composition accurately at home.,physical-product,4
Portable Air Cooler,portable-air-cooler,3,[3],Personal evaporative air cooler,Compact cooler for small rooms with adjustable fan speeds.,IN,3999,4999,2500,4,48,PAC-01,8901234500494,0,90,1,0,320,30,3.2,40,27,27,kg,cm,"cooling,home,appliance",Portable Air Cooler,Energy-efficient cooling for personal spaces.,physical-product,4
LED TV 43 Inch,led-tv-43,1,"[1,3]","43\ Full HD LED TV""",Smart TV with streaming apps and slim bezels.,IN,25999,29999,18000,4.3,410,TV-43FHD,8901234500500,0,55,1,0,320,30,6.8,97,56,8,kg,cm,"tv,led,43inch,smart","LED TV 43\"" Full HD",Smart Full HD TV with built-in apps.,physical-product,4
LED TV 55 Inch,led-tv-55,1,"[1,3]","55\ 4K UHD Smart TV""",4K Smart TV with HDR support and voice assistant.,IN,45999,52999,32000,4.4,520,TV-55UHD,8901234500517,0,40,1,0,210,20,12.5,123,71,9,kg,cm,"tv,4k,smart,55inch","LED TV 55\"" 4K",Immersive 4K viewing experience.,physical-product,4
Smart Home Speaker,smart-home-speaker,1,[3],Voice assistant smart speaker,Hands-free voice control with smart assistant integration.,IN,3499,4499,2000,4.2,320,SHS-01,8901234500524,0,420,1,0,1450,300,0.9,12,12,12,kg,cm,"smart,home,speaker,assistant",Smart Home Speaker,Voice-controlled smart speaker for home.,physical-product,4
Network Switch 8Port,network-switch-8port,1,[1],8-port gigabit network switch,Reliable unmanaged gigabit switch for small offices.,IN,2999,3999,1800,4,65,NS-8P,8901234500531,0,180,1,0,320,40,1.1,12,9,3,kg,cm,"network,switch,office",8-Port Network Switch,Stable gigabit switch for reliable LAN.,physical-product,4
Bluetooth Car FM,bluetooth-car-fm,1,[1],Bluetooth car FM transmitter,Stream music and charge devices via car FM transmitter.,IN,999,1299,300,4,55,BC-FM-01,8901234500548,0,920,1,0,420,90,0.04,7,3,2,kg,cm,"car,audio,bluetooth,accessory",Bluetooth Car FM,Stream music and charge on the go.,physical-product,4
Portable Charger Solar,portable-charger-solar,1,"[1,3]","Solar power bank 10,000mAh",Foldable solar panel and built-in battery for outdoor use.,IN,3499,3999,1600,4.1,38,PB-SOLAR-10,8901234500555,0,120,1,0,80,10,0.55,19,9,3,kg,cm,"solar,powerbank,outdoor",Solar Portable Charger,Outdoor-ready solar power bank.,physical-product,4
Car Vacuum Mini,car-vacuum-mini,1,[1],Compact car vacuum cleaner,Cordless mini vacuum for quick car cleaning with attachments.,IN,1799,2499,900,4,62,CV-MINI-01,8901234500562,0,360,1,0,410,110,0.6,35,8,8,kg,cm,"car,cleaning,vacuum",Car Vacuum Mini,Compact cordless vacuum for cars.,physical-product,4
Smart Water Bottle,smart-water-bottle,2,[2],Temperature display smart bottle,Displays water temperature and tracks hydration reminders.,IN,1999,2499,700,4.1,44,SWB-01,8901234500579,0,420,1,0,320,80,0.45,25,7,7,kg,cm,"health,water,smart",Smart Water Bottle,Keep hydrated with smart reminders.,physical-product,4
Ceramic Cookware Set,ceramic-cookware-set,3,[3],5-piece non-stick cookware set,Durable ceramic coating for healthier cooking and easy cleaning.,IN,4999,6999,2600,4.2,120,CK-SET-5,8901234500586,0,95,1,0,210,20,6.5,30,24,22,kg,cm,"kitchen,cookware,ceramic",Ceramic Cookware Set,Non-stick cookware for everyday cooking.,physical-product,4
Men's Formal Shirt,mens-formal-shirt,2,[2],Slim-fit formal shirt,Breathable cotton blend shirt ideal for office wear.,IN,1299,1999,600,4,240,SH-FML-01,8901234500593,1,520,1,0,1420,360,0.18,40,30,1.5,kg,cm,"clothing,men,shirt,formal",Men's Formal Shirt,Slim-fit formal shirt for office.,physical-product,4
Women's Sneakers,womens-sneakers,2,[2],Casual everyday sneakers,Lightweight casual sneakers with foam cushioning.,IN,2499,3299,1100,4.3,280,WS-01,8901234500609,1,300,1,0,950,140,0.78,25,9,10,kg,cm,"shoes,women,sneakers",Women's Sneakers,Comfortable sneakers for daily wear.,physical-product,4
Pocket Notebook,pocket-notebook,2,[2],A6 pocket notebook,Hardcover A6 notebook with 200 pages for notes and sketches.,IN,249,399,80,4.5,60,NB-A6-01,8901234500616,0,1200,1,0,450,80,0.18,14.8,10.5,1.2,kg,cm,"stationery,notebook,pocket",Pocket Notebook,Compact A6 notebook for notes.,physical-product,4
Portable USB Fan,portable-usb-fan,3,[3],USB powered mini fan,Compact USB fan for desks with adjustable tilt and speed.,IN,499,699,150,4,42,USF-01,8901234500623,0,920,1,0,820,90,0.28,20,9,9,kg,cm,"fan,portable,usb",Portable USB Fan,Small fan for personal cooling.,physical-product,4
Pocket Torch LED,pocket-torch-led,1,[1],High-lumen pocket LED torch,Compact torch with zoom focus and long battery life.,IN,599,799,180,4.2,31,PT-LED-01,8901234500630,0,1300,1,0,1010,140,0.12,18,4,4,kg,cm,"torch,led,portable,light",Pocket LED Torch,Bright and compact LED torch.,physical-product,4
Folding Table,tables-folding,4,[4],Portable folding table,Lightweight folding table for events and outdoor use.,IN,4999,6499,2200,4,40,TB-FOLD-01,8901234500647,0,90,1,0,35,6,8.2,120,60,74,kg,cm,"furniture,table,folding",Folding Table,Easy-to-store folding table.,physical-product,4
